Case Name,Locus,Race,,LR,Pn,Pd,,Time (seconds),,Pn HET0,Pn HET1,Pn HET2,Pn HOM0,Pn HOM1,,Pd HET0,Pd HET1,Pd HET2,Pd HOM0,Pd HOM1
2_,D3,BLACK,,10.3407,0.0108297,0.00104728,,27.776,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
02
2_,TH01,BLACK,,5.48959,0.178075,0.0324387,,35.752,,0.86,0.12,0.02,0.98,0.02,,0.86,0.12,0.02,0.98,0.02
2_,TH01,ASIAN,,7.93106,0.0996335,0.0125624,,30.304,,0.86,0.12,0.02,0.98,0.02,,0.86,0.12,0.02,0.98,0.02
2_,TH01,CAUCASIAN,,6.4078,0.10348,0.016149,,34.652,,0.86,0.12,0.02,0.98,0.02,,0.86,0.12,0.02,0.98,0.02
2_,TH01,HISPANIC,,4.27834,0.148468,0.0347022,,32.936,,0.86,0.12,0.02,0.98,0.02,,0.86,0.12,0.02,0.98,0.02
2_,D13,BLACK,,1.51559,0.00892336,0.00588773,,34.814,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
2_,D13,HISPANIC,,2.14535,0.0127078,0.00592341,,32.599,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
2_,D13,ASIAN,,4.59604,0.0190706,0.00414936,,30.517,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
2_,D13,CAUCASIAN,,1.74727,0.0201147,0.011512,,33.973,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
2_,D16,ASIAN,,20.92,0.00974392,0.000465771,,21.893,,0.79,0.19,0.02,0.98,0.02,,0.79,0.19,0.02,0.98,0.02
2_,D16,BLACK,,12.9333,0.0104464,0.000807713,,30.2,,0.79,0.19,0.02,0.98,0.02,,0.79,0.19,0.02,0.98,0.02
2_,D16,CAUCASIAN,,15.6595,0.00511065,0.000326362,,28.976,,0.79,0.19,0.02,0.98,0.02,,0.79,0.19,0.02,0.98,0.02
2_,D16,HISPANIC,,12.9108,0.0106023,0.000821199,,26.113,,0.79,0.19,0.02,0.98,0.02,,0.79,0.19,0.02,0.98,0.02
2_,D2,BLACK,,31.8739,0.0369626,0.00115965,,24.631,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
2_,D2,CAUCASIAN,,13.7471,0.0708293,0.00515232,,20.158,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
2_,D2,HISPANIC,,14.5621,0.0672675,0.00461937,,13.5,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
2_,D2,ASIAN,,18.2214,0.0554658,0.00304399,,12.46,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
2_,D19,BLACK,,10.9302,0.0115966,0.00106097,,29.61,,0.89,0.09,0.02,0.98,0.02,,0.89,0.09,0.02,0.98,0.02
2_,D19,CAUCASIAN,,3.43031,0.0233,0.00679239,,26.883,,0.89,0.09,0.02,0.98,0.02,,0.89,0.09,0.02,0.98,0.02
2_,D19,ASIAN,,9.1454,0.013498,0.00147593,,18.285,,0.89,0.09,0.02,0.98,0.02,,0.89,0.09,0.02,0.98,0.02
2_,D19,HISPANIC,,6.97032,0.014513,0.00208212,,22.264,,0.89,0.09,0.02,0.98,0.02,,0.89,0.09,0.02,0.98,0.02
2_,vWA,CAUCASIAN,,5.43677,0.0154373,0.00283942,,39.393,,0.83,0.15,0.02,0.98,0.02,,0.83,0.15,0.02,0.98,0.02
2_,vWA,BLACK,,8.11188,0.00670617,0.00082671,,44.174,,0.83,0.15,0.02,0.98,0.02,,0.83,0.15,0.02,0.98,0.02
